2025-09-02,106.219.155.125,Blocked,{{campaign.id}},{{adset.id}},{{ad.id}}
2025-09-02,106.219.155.125,Blocked,{{campaign.id}},{{adset.id}},{{ad.id}}
2025-09-02,106.219.155.125,Blocked,,,
2025-09-02,185.106.32.46,Blocked,,,
2025-09-02,185.106.32.43,Blocked,,,
2025-09-02,106.219.155.125,Blocked,,,
2025-09-02,185.106.32.47,Blocked,,,
2025-09-02,185.106.32.43,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.43,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.43,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.64,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.64,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.64,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.64,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,185.106.32.66,Blocked,,,
2025-09-02,106.219.155.125,Blocked,,,
2025-09-02,185.106.32.45,Blocked,,,
2025-09-02,185.106.32.46,Blocked,,,
2025-09-02,106.219.155.125,Blocked,,,
2025-09-02,106.219.155.125,Blocked,,,
2025-09-02,106.219.155.125,Blocked,,,
2025-09-02,106.219.155.125,Blocked,{{campaign.id}},{{adset.id}},{{ad.id}}
2025-09-02,106.219.155.125,Blocked,,,
2025-09-02,185.106.32.65,Blocked,,,
2025-09-03,59.165.149.180,Blocked,,,
2025-09-04,174.64.188.166,Blocked,,,
2025-09-04,185.106.32.65,Blocked,,,
2025-09-06,185.106.32.64,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
2025-09-26,162.55.238.118,Blocked,,,
